product_prices,product_page_links,product_ids,image_links
39.99,/en_ca/productpage.1073646001.html,1073646001,"//lp2.hm.com/hmgoepprod?set=source[/f0/b3/f0b3464f523e0e4e5a1ac47bbda782794a5ae039.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
49.99,/en_ca/productpage.1093399001.html,1093399001,"//lp2.hm.com/hmgoepprod?set=source[/d2/5a/d25a17be19effb5af223324ce4774a8710249e11.jpg],origin[dam],category[kids_baby_girl_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
74.99,/en_ca/productpage.1003215009.html,1003215009,"//lp2.hm.com/hmgoepprod?set=source[/eb/cf/ebcffc5c436a9ca141be0fc966e6790c3fac2ad9.jpg],origin[dam],category[kids_baby_boy_outerwear_snowsuits],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
17.99,/en_ca/productpage.1060881001.html,1060881001,"//lp2.hm.com/hmgoepprod?set=source[/7f/7c/7f7c8763bff4a40ca3141c914013e335b186af1c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
15.99,/en_ca/productpage.0942100005.html,942100005,"//lp2.hm.com/hmgoepprod?set=source[/90/ea/90ea10a8d714a730c1427dc177797f691efb0046.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.0987449004.html,987449004,"//lp2.hm.com/hmgoepprod?set=source[/38/11/38113b1eaa4ccd94ad09394e114b3502cc06750a.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.1009748001.html,1009748001,"//lp2.hm.com/hmgoepprod?set=source[/ff/7b/ff7bbbd5602f015622989dcf88e14bce5e5b2c02.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]"
74.99,/en_ca/productpage.1090728001.html,1090728001,"//lp2.hm.com/hmgoepprod?set=source[/d1/43/d14334b0468b71ec21bc7e5d286a50c05a906555.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.0987449005.html,987449005,"//lp2.hm.com/hmgoepprod?set=source[/56/d2/56d2e69866ac6face65965e9d31b9050881a97e5.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
9.99,/en_ca/productpage.1116684001.html,1116684001,"//lp2.hm.com/hmgoepprod?set=source[/92/d0/92d0e392d1f1c9af07b4a8abac9c95109105a39d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.1125202001.html,1125202001,"//lp2.hm.com/hmgoepprod?set=source[/c8/57/c8572c7c391a3bec5a7a84a1bb5d3b5bdd7ff75f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/main]"
